Round name,numRounds,title,status,website,projectTwitter,userGithub,projectGithub,recipient,originality,ai,smallDescription,lowReadability,lowOriginality,highAi,flagged
['Web3 Open Source Software Round'],1,DAOstar,PENDING,https://daostar.org,daostar_one,metagov,metagov,0xfF2aBEF3af9655D96Da983916e066134adea6390,,,True,False,False,False,True
['Web3 Open Source Software Round' 'Climate Solutions'],2,Carbonable,PENDING,https://carbonable.io,carbonable_io,rmzlb,Carbonable,0xE1A441138d28170fD28Ff0b649FCc5362Bf3f893,0.0,1.0,False,False,True,True,True
['Web3 Open Source Software Round' 'ENS Ecosystem'],2,Test,PENDING,https://www.testing.dev,_lolu,jesuloluwao,lolus-test,0x69f9e121702461eA52F627A6147ea3c6dc2DEF31,,,True,False,False,False,True
['Web3 Open Source Software Round' 'Web3 Social'],2,Pin Save: decentralized Pinterest,PENDING,https://evm.pinsave.app,PinSav3,pfed-prog,dspytdao,0x48294a067D1bC5a58BCbAB4b3bE329d078D9E1Af,0.8363,0.1637,False,True,False,False,True
['Web3 Open Source Software Round'],1,DeCartography,PENDING,https://decartography.com/,DeCartography,tkgshn,DeCartography,0xDfd5e88aEF6D84798Ef6D5b71DCd31B61579Af20,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Fstar,PENDING,https://fstar.fi,Fstar_Fi,fstarprotocol,FstarFi,0xB13f3f08e43EC267a78b43ae868bf48610023738,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Stackly,PENDING,https://stackly.eth.limo,stacklydapp,NelsonGaldeman,ImpeccableHQ,0xA578d44eF20BAaaA694C10C9DE909cA83e241Da8,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,FiatConnect,PENDING,https://fiatconnect.org,FiatConnect,silasbw,fiatconnect,0x67247467869468ED0380D0d3ae9295A020B0171b,,,True,False,False,False,True
['Web3 Open Source Software Round' 'ENS Ecosystem'],2,1Hive Gardens,PENDING,https://gardensdao.eth.limo,gardensdao,pglavin2,1Hive,0x1B8C7f06F537711A7CAf6770051A43B4F3E69A7e,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,tProof,PENDING,https://tproof.io,tproofio,70nyIT,tproofio,0x8Dc8829Efba40848659E8ee31B8Ea8aAE73F00D9,0.0,1.0,False,False,True,True,True
['Web3 Open Source Software Round'],1,useWeb3 - Web3 Developer platform,PENDING,https://www.useweb3.xyz/,useWeb3,wslyvh,useWeb3,0xA512C3cF9A63715CEd87DE5058c684cBFF9f4321,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,crypto-jobs-crawler,PENDING,https://crypto-jobs-fyi.github.io/web/,kuramorik,yury-dubinin,crypto-jobs-fyi,0x589a0D87d600a6C6fAa34c491C9e779f434bC51d,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,aikipay,PENDING,https://github.com/aikilabs/aikipay,nuel_ikwuoma,nuel-ikwuoma,aikilabs,0x2e2316088c015F4BF27D86A1458A707af536A324,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Via | Cross-chain router,PENDING,https://via.exchange,via_protocol,serafimcloud,viaprotocol,0xdb0c831283C003686AEF40cA228e42bDAbf6674c,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,pRoots:   genomic data protocol on plasmid for bridging synbio and web3 for desci ecosystem,PENDING,https://proots.dev/,proots_desci,weitinglin,Proots-Foundation,0x120Ba33F6019b768C1Cae60c44AE7486f98dD445,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Stake Together,PENDING,https://linktr.ee/staketogether,0xStakeTogether,0xfabricio,staketogether,0xfC48061c33F18b1C35Ee271B44cF63cCC730BFdF,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Arm0ry Playground,PENDING,https://arm0ry.g0v.tw,arm0ry_g0v,audsssy,arm0ry,0x7Cb389201e86ac93B2beb9398613AB5Bb283ad1A,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Taho - Open Source and Community Owned Wallet,PENDING,https://taho.xyz,taho_xyz,Naxsun,tahowallet,0x99b36fDbC582D113aF36A21EBa06BFEAb7b9bE12,,,True,False,False,False,True
['Web3 Open Source Software Round' 'Global Chinese Community beta round'],2,Decert.me,PENDING,https://decert.me,decertme,0xdwong,decert-me,0x014EeCfA2E58d4975991F46026A2332561161912,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,DefiLlama,PENDING,https://defillama.com/,DefiLlama,0xngmi,DefiLlama,0x08a3c2A819E3de7ACa384c798269B3Ce1CD0e437,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,DefiLab.xyz,PENDING,https://defi-lab.xyz/,DefiLab_xyz,fedefede8,DefiLab-xyz,0x9fe6764778db6AD5c5ED86242485d1a868a8c52A,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,neume,PENDING,https://github.com/neume-network,neumenetwork,djfnd,neume-network,0x80E451777dCD4E4a589a038A61b1dca72d718045,0.9973,0.0027,False,True,False,False,True
